# BOOKS_XBOOT_V1
# Das xBoot (Red Devil) — базовые спины, 6 барабанов 2-3-4-4-3-2
# RTP_ALL_SEEDS: 95.9501% (totalWin=95950.08 totalBet=100000.00 books=100000)
# RTP_BASE_SPIN_ONLY: 90.1772%
# HIT_RATE: 22.30% (hit=22303 miss@0x=77697)
# BONUS_RATE: 0.456% (FS triggers=456, target 1/211≈0.474%)
# MAX_WIN: 55200x@1 (book id 88888, prob ~1/64M synthetic)
# JACKPOT_SEED: xb_1wl4_1ixwdpr
# Колонки (TAB): seed | total_win@1 | has_bonus | reels | weights | reel_nudge_mult
# [ | N | на фри: reels | weights | nudge_mult ]×N
# Индексы символов: low1..target (0-14), wild4=15, xways4=16, xwild4=17
xb_0_143tnlo	0.24	0	0,9|10,0,1|3,0,4,4|2,1,6,7|10,5,1|5,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1_12h1hw9	0.2	0	0,2|4,5,2|2,6,9,9|0,0,9,7|3,3,4|0,0	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_2_jnx2ke	0.24	0	0,3|1,0,4|7,0,2,8|5,3,10,2|8,6,4|4,2	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_3_1rui3yw	51.2	0	5,9|0,7,9|13,13,13,13|13,13,13,13|1,5,5|8,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,4,2,1,1
xb_4_8xrx32	0.2	0	2,1|3,9,2|2,6,0,9|1,9,8,6|2,3,2|0,2	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_5_1vfrs7w	0.6	0	5,6|6,3,5|8,6,8,4|9,3,7,6|3,0,7|1,9	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_6_10f2tl0	0.2	0	3,2|5,3,4|2,3,6,2|0,2,2,0|10,8,8|8,3	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_7_1elyn4k	0.88	0	9,0|8,2,9|0,8,5,9|9,1,5,8|9,2,2|0,0	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_8_10ezn3j	0.4	0	2,1|2,0,7|7,2,6,2|9,9,4,1|2,7,10|5,4	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_9_1q0pq27	0.2	0	2,4|0,2,6|2,5,3,3|7,8,6,5|5,8,2|4,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_a_g1iek8	3.3600000000000003	0	9,4|9,1,5|13,13,13,13|8,2,4,8|4,3,8|2,0	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,3,1,1,1
xb_b_a1k38n	0.24	0	4,1|1,8,4|6,1,3,3|8,9,3,3|6,5,2|0,2	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_c_i2zaai	48	0	5,2|3,7,5|13,13,13,13|13,13,13,13|2,4,4|6,9	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_d_1weyn0i	0.96	0	0,0|9,0,2|4,0,10,0|4,6,9,5|1,2,0|0,8	1,1|1,1,1|1,1,1,1|1,1,1,1|3,1,1|1,1	1,1,1,1,1,1
xb_e_1pygqtd	0.4	0	1,9|9,5,7|9,8,2,2|6,2,1,9|0,7,7|1,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_f_gp9zfb	4.48	0	3,7|3,0,0|13,13,13,13|9,3,5,2|8,6,4|5,6	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,4,1,1,1
xb_g_rooz4b	1.04	0	3,7|7,10,8|7,5,5,7|7,5,9,0|5,5,3|1,6	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_h_1h9kaux	8.32	0	7,2|0,7,8|13,13,13,13|13,13,13,13|1,4,2|9,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_i_kw0cyv	0.48	0	1,0|5,3,1|0,9,1,1|7,6,0,2|3,4,6|4,9	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_j_1hp9uk7	0.48	0	3,1|9,1,0|1,1,0,6|7,6,6,8|5,6,9|1,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_k_9xbann	0.6	0	1,6|3,3,6|4,6,2,4|6,5,2,1|4,3,3|8,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_l_ypydqy	0.56	0	8,8|8,2,6|2,4,8,0|4,7,0,5|0,6,3|3,4	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_m_nihn65	0.32	1	0,5|4,1,10|9,8,6,10|2,9,6,7|3,0,10|5,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1	7	9,0|9,4,5|4,3,1,7,3,8,5,8|8,2,6,0|8,5,5|4,1	1,1|1,1,1|1,1,1,1,1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1	9,4|2,5,5|2,6,2,6,9,14,8,8|2,9,6,2|7,8,1|6,3	1,1|1,1,1|1,1,1,1,1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1	8,4|0,2,2|1,2,9,4,8,6,0,8|5,8,3,4|2,9,5|6,8	1,1|1,1,1|1,1,1,1,1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1	2,8|9,6,0|0,9,9,8,5,3,4,14|7,2,7,4|7,9,3|1,3	1,1|1,1,1|1,1,1,1,1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1	1,7|5,7,9|0,0,9,6,1,7,1,9|1,9,9,1|5,3,0|2,4	1,1|1,1,1|1,1,1,1,1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1	8,1|4,9,0|7,14,5,0,2,2,8,8|5,7,0,9|9,2,9|7,3	1,1|1,1,1|1,1,1,1,1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1	9,5|0,0,0|2,0,3,4,4,4,9,7|2,4,2,4|8,1,1|2,4	1,1|1,1,1|1,1,1,1,1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_n_1k89pwj	7.68	0	5,8|2,7,8|2,5,3,8|13,13,13,13|5,3,4|2,3	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,4,1,1
xb_o_18z7fdz	1.44	0	1,6|1,8,3|9,8,1,7|13,13,13,13|6,3,9|3,3	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_p_1tq0yu	1.08	0	1,4|2,1,6|1,9,1,1|0,0,1,5|0,5,5|0,9	1,1|1,1,4|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_q_1808tm8	14.399999999999999	0	4,7|1,7,4|5,7,7,7|3,8,1,7|7,4,0|9,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_r_jtz3ow	10.24	0	2,4|2,5,2|13,13,13,13|2,0,4,2|8,0,1|3,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,2,1,1,1
xb_s_in5kov	1.12	0	3,8|2,7,8|13,13,13,13|6,1,9,7|5,9,7|7,9	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_t_xquhye	19.200000000000003	0	9,6|6,9,8|9,5,9,9|13,13,13,13|6,7,4|3,4	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,4,1,1
xb_u_en6p1r	0.64	0	6,7|5,4,7|7,6,7,0|3,5,1,6|2,3,8|7,6	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_v_ysukl	0.32	0	2,6|2,8,8|7,0,1,2|8,1,2,8|4,8,6|5,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_w_1kpp25f	5.76	0	0,4|8,4,8|13,13,13,13|4,4,1,1|1,7,8|2,4	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,3,1,1,1
xb_x_1pf0fqk	0.2	0	4,8|0,2,4|4,10,6,8|9,3,2,1|6,4,2|4,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_y_56jg1t	0.88	0	3,5|2,4,5|7,8,1,5|0,1,9,2|5,3,7|2,3	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_z_1cw79yc	5.76	0	0,7|2,9,0|13,13,13,13|6,3,0,7|2,7,6|2,2	1,1|1,1,2|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,2,1,1,1
xb_10_1tskk3m	0.8	0	8,4|3,3,4|13,13,13,13|1,1,2,7|9,0,3|2,4	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_11_1pcq0or	2.24	0	7,9|3,6,9|13,13,13,13|8,5,3,4|2,5,5|4,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,2,1,1,1
xb_12_1bwqw9q	0.24	0	1,0|1,5,8|1,0,4,6|2,6,3,0|3,8,8|2,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_13_1ts21il	5.76	0	7,1|2,1,10|8,0,9,1|13,13,13,13|0,3,10|2,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,4,1,1
xb_14_thzeuc	6.4	0	6,2|6,5,3|6,0,6,7|2,6,5,1|0,4,6|2,2	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_15_etz4dm	1.12	0	3,8|1,2,3|0,9,3,3|5,3,3,6|0,5,5|7,8	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_16_vjqr4w	1.92	0	4,0|0,6,2|13,13,13,13|10,5,8,4|9,4,8|9,6	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,2,1,1,1
xb_17_1n9y1rv	0.28	0	5,8|7,8,0|5,8,7,6|9,6,2,7|7,10,9|8,9	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_18_17cx48	1.12	0	3,2|3,2,8|3,0,3,4|7,3,8,3|6,1,2|3,8	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_19_9kq8dq	0.24	0	6,1|1,8,3|2,3,2,1|6,6,7,6|2,8,6|0,6	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1a_2wevbe	0.64	0	7,0|9,7,1|10,8,7,7|0,8,5,5|5,2,8|9,3	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1b_e1psni	4.48	0	5,3|4,3,5|1,8,3,0|13,13,13,13|2,6,0|7,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,4,1,1
xb_1c_zkqhg3	0.36	0	7,0|0,1,3|0,3,2,9|4,5,8,0|8,8,5|8,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1d_11g1isu	0.32	0	1,2|2,4,5|6,6,9,2|2,0,1,6|6,8,4|0,6	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1e_1edks6s	0.28	0	8,4|3,8,6|1,0,8,6|4,3,10,1|3,0,3|5,2	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1f_h789j7	0.36	0	8,0|9,0,9|3,2,0,2|2,1,0,1|10,5,4|0,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1g_v6gngp	3.84	0	8,5|8,0,2|13,13,13,13|7,1,7,8|4,10,2|4,8	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,2,1,1,1
xb_1h_1mo9m7a	3.3600000000000003	0	7,3|6,2,3|13,13,13,13|3,8,2,1|4,8,5|9,9	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,3,1,1,1
xb_1i_1atpm0n	3.76	0	1,9|1,9,5|6,1,9,9|4,9,9,5|9,4,4|5,7	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1j_czb9fi	0.32	0	8,7|1,9,7|2,1,1,7|0,5,0,6|0,4,7|7,8	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1k_1b6v587	0.28	0	9,6|3,9,4|2,9,4,3|8,6,7,5|10,3,9|4,3	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1l_147x5hk	3.2	0	4,1|4,9,9|13,13,13,13|0,10,3,3|4,8,9|2,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,2,1|1,1	1,1,4,1,1,1
xb_1m_194h6z8	1.92	0	1,2|1,5,5|13,13,13,13|6,3,2,3|3,5,7|3,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,2,1,1,1
xb_1n_1eob1dw	0.4	0	9,4|6,9,0|1,8,9,1|2,9,1,4|8,4,1|5,1	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1o_1mr24kz	0.6	0	6,8|6,2,4|4,10,3,6|1,1,6,9|7,10,5|0,8	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1p_jfrrnh	0.28	0	8,9|6,7,8|3,1,8,4|5,5,5,5|10,5,3|5,8	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1q_13aopr3	0.28	0	1,9|6,9,0|9,3,1,6|0,1,3,8|8,2,6|2,0	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1r_4zp8vt	0.88	0	8,5|2,5,7|8,5,3,6|9,8,8,4|1,6,9|5,0	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1s_4g6trf	0.24	0	4,0|4,3,0|8,0,7,9|7,10,1,2|0,4,10|9,6	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1t_1ethj6a	0.2	0	2,3|10,1,3|0,3,8,5|8,9,5,0|9,5,10|4,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
xb_1u_rixxfy	3	0	5,7|8,3,5|2,4,0,5|9,6,5,2|2,4,4|9,5	1,1|1,1,1|1,1,1,1|1,1,1,1|1,1,1|1,1	1,1,1,1,1,1
