# BOOKS_SEEDS_V2
# RTP_ALL_SEEDS: 95.9933% (totalWin=95993.25 totalBet=100000.00 books=100000)
# RTP_BASE_SPIN_ONLY: 48.4850%
# RTP totalBet = только платный спин (×spinCostMult); фри-спины в ставку не входят.
# HIT_RATE: 26.00% (hit=26000 miss@0x=74000 books=100000)
# Hit = total_win@1 > 0 на платном спине; miss = 0× (без линий и без бонуса в seed).
# Колонки (TAB): seed | total_win@1 | has_bonus | барабаны | веса [ | число_фри | на фри: reels | weights | landing ]
# total_win@1 = базовый спин + бонус (выплаты при bet=1); в RTP платный спин учитывается с spinCostMult.
# Индексы символов как в SYMBOLS slot.js / generate-books (low1 … split_wilds).
rv_0_d726xw	13	0	9,5,10|9,0,5|9,0,4|9,2,0|0,8,10	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_1_w5ljk9	0.8	0	7,5,8|3,7,7|7,1,1|11,4,5|4,9,5	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_2_ex0hck	0.3	0	7,3,6|6,9,4|6,1,3|0,5,0|3,3,6	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_3_1fuseu8	11.200000000000001	0	9,6,3|3,4,5|1,0,3|3,6,10|3,5,6	1,1,1|7,1,1|1,1,1|1,1,1|1,1,1
rv_4_vu59c5	0.6	0	8,3,1|4,8,5|0,3,8|10,2,7|7,3,4	1,1,1|1,1,1|1,1,1|1,1,1|1,1,5
rv_5_hy6wye	0.75	0	9,4,1|3,9,0|0,6,9|9,2,1|7,0,1	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_6_6a5es0	0.4	0	7,7,0|0,6,0|0,3,1|9,3,0|3,7,8	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_7_6qo1fn	2.5	0	7,0,2|10,4,3|7,5,6|7,9,3|2,0,7	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_8_s3sgm	0.3	0	3,5,9|4,5,0|8,5,0|3,6,1|1,0,8	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_9_1g4dfo1	0.6	0	5,4,0|5,5,0|7,5,6|6,7,9|7,9,9	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_a_1mzs4lb	3.2	0	7,3,3|4,10,8|3,6,3|3,2,0|4,3,6	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_b_5lknv	2	0	3,8,1|8,3,4|7,8,7|6,11,9|6,7,0	1,5,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_c_1i4ufag	0.4	0	2,0,7|3,1,7|9,3,7|9,9,1|7,4,3	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_d_rg1xux	0.8	0	1,7,2|9,1,7|7,7,6|8,4,6|2,2,0	1,1,1|1,1,1|1,1,4|1,1,1|1,1,1
rv_e_gdqsgf	0.5	0	9,1,3|9,8,5|4,9,1|11,1,3|3,2,8	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_f_ev3svg	0.3	0	8,2,5|5,0,4|6,6,5|3,1,6|7,8,7	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_g_1vtrso1	0.5	0	8,9,6|0,1,9|3,9,7|5,6,7|7,9,7	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_h_18vt557	0.4	0	4,2,1|7,4,9|0,10,4|9,5,8|0,5,2	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_i_n1thz0	10.3	0	7,4,7|6,2,10|7,4,9|7,4,5|7,0,7	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_j_1urepod	0.4	0	0,4,4|3,4,11|1,4,1|6,8,1|2,3,2	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_k_net7xg	0.3	0	4,3,6|6,4,0|1,4,9|0,4,8|0,8,3	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_l_1eepjyv	2.1	0	10,4,9|2,7,10|9,5,5|1,9,3|2,1,1	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_m_lx70ag	0.5	0	5,7,2|7,0,8|4,1,10|4,0,7|9,3,9	1,1,1|1,1,1|3,1,1|1,1,1|1,1,1
rv_n_170bldq	0.8	0	7,6,7|4,9,6|6,5,6|7,2,10|1,5,2	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_o_1a6etpp	8.3	1	11,7,3|5,11,9|4,0,6|5,9,1|7,11,8	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1	7	5,4,0|6,2,7|6,2,6|1,3,6|9,6,7	1,1,1|1,1,2|1,1,2|1,1,2|1,1,1	5,4,0|6,2,7|6,2,6|1,3,6|9,6,7	4,6,0|7,3,0|6,1,8|2,3,5|4,1,8	1,1,1|1,1,2|1,1,2|1,1,2|1,1,1	4,6,0|7,3,12|6,1,8|2,3,5|4,1,8	9,3,7|9,0,10|9,4,10|0,6,7|6,1,0	1,1,1|1,1,1|1,1,1|1,1,2|1,1,1	9,3,7|9,0,10|9,4,10|0,6,7|6,1,0	7,9,8|5,2,10|2,7,7|0,7,5|2,4,4	1,1,1|1,1,1|1,1,2|1,1,5|1,1,1	7,9,8|5,2,10|2,7,7|0,7,12|2,4,4	8,4,9|2,6,7|4,6,5|5,4,6|8,4,7	1,1,1|1,1,2|1,1,2|1,1,2|1,1,1	8,4,9|2,6,7|4,6,5|5,4,6|8,4,7	7,7,4|3,9,9|1,9,7|7,0,8|3,9,1	1,1,1|1,1,2|1,1,2|1,1,2|1,1,1	7,7,4|3,9,9|1,9,7|7,0,8|3,9,1	1,8,9|8,8,9|8,4,8|7,9,10|1,3,3	1,1,1|1,1,2|1,1,2|1,1,1|1,1,1	1,8,9|8,8,9|8,4,8|7,9,10|1,3,3
rv_p_1hje4vu	0.6	0	2,8,0|6,8,7|1,8,6|7,1,8|4,4,7	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_q_hfh0hg	0.4	0	8,8,4|5,4,2|8,4,4|7,1,2|7,2,4	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_r_g5pv0b	0.6	0	3,8,9|8,3,5|6,0,3|8,3,10|4,5,0	1,1,1|1,1,1|1,1,1|1,1,1|1,1,2
rv_s_m3q42d	0.6	0	9,5,4|5,0,3|5,10,3|1,3,1|4,8,8	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_t_m9iuwo	0.8	0	5,1,5|9,0,5|0,9,5|5,9,9|7,2,0	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_u_auyyvn	0.3	0	1,6,1|9,4,6|6,5,0|9,2,1|0,8,7	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_v_1x6r4s8	0.6	0	6,8,4|1,1,6|6,9,6|4,1,1|6,9,1	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_w_1wnu9gd	0.3	0	5,6,8|6,1,1|2,6,4|5,8,8|5,0,8	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_x_5sy5ya	36.8	1	0,11,0|7,3,0|4,2,11|6,7,3|3,11,6	1,1,1|1,1,1|1,1,1|1,1,4|1,1,1	7	9,10,5|0,9,14|4,8,5|5,6,5|8,7,1	1,1,1|2,2,2|1,1,5|1,1,3|1,1,1	9,10,5|0,9,13|4,8,12|5,6,12|8,7,1	3,7,1|6,9,8|0,5,9|9,3,8|0,0,3	1,1,1|1,1,2|1,1,2|1,1,3|1,1,1	3,7,1|6,9,12|0,5,9|9,3,12|0,0,3	5,7,5|8,5,14|1,10,6|3,8,8|2,5,1	1,1,1|2,2,2|1,1,2|1,1,2|1,1,1	5,7,5|8,5,13|1,10,6|3,8,8|2,5,1	2,0,3|9,4,10|9,5,5|0,9,5|0,6,4	1,1,1|1,1,1|1,1,2|1,1,2|1,1,1	2,0,3|9,4,10|9,5,5|0,9,5|0,6,4	0,9,3|10,3,3|1,1,6|9,6,7|8,0,6	1,1,1|1,1,6|1,1,2|1,1,2|1,1,1	0,9,3|10,3,12|1,1,6|9,6,7|8,0,6	2,3,4|2,2,6|5,6,14|5,6,7|3,2,1	1,1,1|1,1,2|2,2,2|1,1,2|1,1,1	2,3,4|2,2,12|5,6,13|5,6,7|3,2,1	0,2,3|7,7,5|8,4,6|6,0,5|1,7,1	1,1,1|1,1,6|1,1,4|1,1,2|1,1,1	0,2,3|7,7,5|8,4,6|6,0,5|1,7,1
rv_y_1wuoojj	0.8	0	4,5,2|5,2,5|5,6,7|5,8,11|3,0,0	1,1,6|1,1,1|1,1,1|1,1,1|1,1,1
rv_z_paxj4a	0.8	0	10,0,1|5,1,11|10,8,5|6,4,2|8,7,5	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_10_tn9rtc	1	0	4,8,2|5,4,8|8,10,9|7,6,6|5,5,1	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_11_15b1x25	0.6	0	9,8,1|6,1,2|1,3,8|0,8,10|1,7,3	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_12_n7epr7	0.5	0	2,3,9|6,9,0|0,9,6|7,1,4|7,4,6	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_13_4thqoh	0.5	0	10,3,3|7,0,1|0,3,6|6,0,9|2,0,4	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_14_4hto69	0.3	0	3,5,0|9,5,4|9,5,6|1,7,3|2,4,6	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_15_13t2oip	0.75	0	9,4,4|2,2,9|2,9,8|2,9,4|2,0,2	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
rv_16_47nn5o	1.6	0	1,4,8|8,9,8|8,3,1|5,11,4|5,9,9	1,1,2|1,1,1|1,1,1|1,1,1|1,1,1
rv_17_1lobpip	3	0	9,3,1|9,4,0|9,9,4|7,9,9|1,6,2	1,1,1|1,1,1|1,1,1|1,1,1|1,1,1
